name,brand,pack_value,pack_unit,is_multipack,variant,unit_price,parse_status
Soulflower Detan Bright Tomato Soap,Soulflower,,,False,,,no_pack
Sprite Pet Bottle & 4700Bc Hawaiian Barbeque Cheese Popcorn Pouch Combo,4700Bc,,,False,,,no_pack
Happy Tyohaar Red Puja Cloth-1.25 mtr,Happy,,,False,,,no_pack
Huber & Holly Mango Duet Candies,Huber,,,False,mango,,no_pack
Godrej Zap Stain Remover Liquid Refill Pouch,Godrej,,,False,,,no_pack
Wonderchef Alfa Pressure Cooker (Aluminium),Wonderchef,,,False,mini,,no_pack
"Godrej Aer Power Pocket Bathroom and Toilet Air Freshener (Lemon Tangy Delight) & Godrej Aer O Hanging Car Air Freshener, Car Accessories Co",Godrej,,,False,lemon,,no_pack
"DRAWGUUD Ruled Notebook (A5, 70 GSM, 120 Pages)",DRAWGUUD,120.0,count,False,,,ok
"Leafy Tales Emerald Plastic Plant Pot (Beige, 18"")",Leafy,,,False,,,no_pack
Wow! Momo Veg Darjeeling Momos,Wow!,,,False,,,no_pack
Khetika Peanut Chutney,Khetika,,,False,,,no_pack
dr GOOD EGGS Omega-3,,,,False,,,no_pack
Ching's Secret Hot Garlic Instant Noodles,Chings,,,False,instant,,no_pack
Kuber Industries Silicone Bottle Cleaning Brush with Long Handle (Grey),Kuber,,,False,,,no_pack
"boAt Nirvana Ivy TWS Earbuds w/ Mic, 50H Playtime, 50 dB ANC, IPX5, v5.3 (Gunmetal Black)",boAt,,,False,,,no_pack
Paseo Facial Tissue,Paseo,,,False,,,no_pack
Cadbury Dairy Milk Chocolate Home Treats,Cadbury,,,False,chocolate,,no_pack
Aashirvaad High Fibre Atta with Multigrains,Aashirvaad,,,False,,,no_pack
The Flora 3 Purple Carnations Bouquet,,,,False,,,no_pack
Lo Foods Gluten-Free Ragi Cookies (Elaichi),Lo,,,False,,,no_pack
Satyam Jeera,Satyam,,,False,,,no_pack
Hot Milk,Hot,,,False,,,no_pack
Tata Sampann Organic Unpolished Moong Dal,Tata,,,False,organic,,no_pack
Khushiyon Ki Sougat Black Pepper Whole,Khushiyon,,,False,whole,,no_pack
Kinder Bueno Crispy Creamy Bar (Pack of 2 ) 43g,Kinder,43.0,g,False,creamy,,ok
Prasuma Original Chicken Momos & Coca-Cola Can Combo,Prasuma,,,False,original,,no_pack
Tagz Popped Potato Chips Cream & Onion Divin',Tagz,,,False,,,no_pack
BestValue Moong Dal,BestValue,,,False,,,no_pack
