code,product_name,brands,quantity,categories,countries
8901719134845,Parle-G Biscuit,Parle,45gm,Dry biscuits,India
8901719134852,Parle G biscuit,Parle,,Biscuits,India
8901063139329,bourbon,britannia,50g,Biscuits,India
8902080000227,Sting Energy,Sting,1,Energy drink with sugar,India
8906010500764,balaji wafers chataka pataka,Balaji,25g,"Biscuits, Crisps, Crackers (Appetizers), namkeen",India
8901063093522,Good Day - Cashew Cookies,Britannia,52.5 g,"Biscuits or cookies variety packs, Biscuit mixes, Biscuits/Cookies (Shelf Stable)",India
8901058017687,maggi,Maggi,75,"Noodles, Maggi, Maggie",India
8901063162914,Marie Gold Biscuit,Britannia,64 g,Biscuits,"India, United Kingdom"
8906010500559,Mung Dal,Balaji,25 g,"Snacks, Food",India
8901764042911,Thums up,Thums up,250 ml,"Carbonated waters, Colas, Sweetened beverages",India
8906010500245,Balaji Wafers Masala Sev Murmura,Balaji Wafers,40 g,Wafers,"France, India"
8906010502232,Balaji wafers panjabi tadka,Balaji,22g,"Crisps, Namkeen",India
8906010500900,Wheelos Masala Flavour,Balaji Wafers,22 g,Appetizers,India
8906010500023,POTATO WAFERS,Balaji,,"Appetizers, POTATO WAFERS",India
8901764032912,Sprite,"Coca-Cola, sprite",250 ml,"Sodas, Sweetened beverages",India
7622202225512,Original Oreo,Cadbury,,"Filled biscuits, Des","India, United States"
8904043901015,Tata Salt,Tata,1 kg,"Table salts, Groceries",India
8901058000290,maggi,Nestlé,70,"Instant noodles, Instant Noodles with Seasoning",India
3948764032912,Sprite,"Coca-Cola, Sprite",250ml,Sodas,India
8901063092853,Good Day cashew cookie,Britannia,30.2 g,Biscuits,"India, United Kingdom"
8906017290040,Bisleri 1ltr MADE IN INDIA,Bisleri,1,Waters,"France, India"
3948764042911,thums up,thumsup,250ml,"Colas, Sweetened beverages",India
8901719129988,Happy happy - Parl,Parle,31.5 g,"Biscuits, Happy happy biscuit",India
7622202334009,dairy milk,"Cadbury, Dairy Milk",11 g,Milk chocolates,India
8906010500627,Chataka Pataka Tangy Tomato,Balaji,,"Crisps, Chatapataka, Chis",India
8901030921667,kissan,Kissan,1,"Ketchup, Tomato & Chill Ketchup",India
8901764092206,Maaza,"Mazza, The Coca-Cola Company",600 ml,"Juices and nectars, juice",India
8901030535895,Bru Instant Coffee,Bru,1.2 g,"Coffees, Instant coffees",India
8901030897542,kissan fresh tomato,Kissan,90g,Tomato Ketchup,India
8901764082405,Kinley Mineral Water 1ltr,Kinley,6,Waters,India
8906010500337,Aloo Sev,Balaji,22g,"Snacks, Snack Mixes, indian",India
8901063029255,Jimjam 57g (57),Britannia,57 g,Biscuits,India
8901491100519,Kurkure,Kurkure,78 g,"Crisps, Namkeen","Canada, France, India, Nepal, Spain"
8901262010016,Amul Pasteurized Butter,Amul,100.0 g,Butters,"Bahrain, Hong Kong, India, Kuwait, Malaysia, New Zealand, Oman, Qatar, Singapore, Sri Lanka, United Arab Emirates, United States"
8901764042904,Thumsup,Coca-Cola,1 litter,Sodas,India
8901262200196,Amul Masti Spiced Buttermilk 200ml,Amul,200mL,"Beverages, Milks, Buttermilks","India, United States"
8906010502119,Chataka pataka,Balaji,25,"Crisps, Chataka pataka","India, United States"
8901764032707,Sprite,Coca Cola,600 ml,"Artificially sweetened beverages, Sodas, Still fruit soft drink with reduced sugar and with 10-50% of fruit juice, Sweetened beverages",India
8906010502294,Flaming hot nachos,,,Crisps,"India, United Kingdom"
8906010500078,Balaji Farali Chivda,Balaji Namkeen,22g,Snacks,India
8901491366052,Puffcorn,Kurkure,58 g,"Crackers (Appetizers), Corn chips, Puffed salty snacks",India
8901719135248,Krackjack,Parle,56.7g,Biscuits,India
8906010501570,Balaji Wafers Crunchex,Balaji,32g,"Crisps, Salty snacks made from potato, Kurkure",India
8996001312506,Malkist Cheese Flavoured Crunchy Layered Cracker Biscuits,Mayora,144g,"Biscuits, Crackers (Appetizers), cream-biscuit",India
8901058005233,Kitkat mini chocolate coated wafer,"KitKat, Nestle nutrition",11.9g,"Chocolate candies, Bars, Chocolate biscuits, Dark chocolate bar",India
8902080104581,Pepsi,Pepsi Cola,400ml,"Carbonated waters, Carbonated soft drinks without fruit juice, Cola with sugar, Diet cola soft drink, Sweetened beverages",India
8901063023901,Marie Gold,Britannia,250,"Biscuits, Snack biscuit with fruits filling",India
8901030921797,kissan fresh tomato,"Kissan, Unilever",,Tomato Ketchup,India
8901719135118,MONACO,Parle,,"Appetizers, Biscuits, Monaco-biscuit",India
8901063162532,Marie gold,Britannia,33g,Biscuits,India
3948764061257,Diet coke,Coca-Cola,300 ml,Diet cola soft drink,India
89080153,Maggi masala magic,"Maggi, Maggie",6g,Spices,India
8901764032905,Sprite,"Coca cola, Sprite",2.25l,"Artificially sweetened beverages, Sodas",India
8904272600291,Storia 100% Tender Coconut Water 1L,Storia Foods & Beverages,10,Coconut waters,India
8901764092305,Maaza Origina,HINDUSTAN COCA-COLA BEVERAGES PVT LTD.,1.2L,Sweetened beverages,India
8901595862962,Schezwan Chutney,Ching's Secret,250 g,Schezean Chutney,India
8901262260121,Amul Taaza Milky Milk,"Amul, Amul taaza",500 ml,Whole pasteurised milks,India
8906010500863,Shing Bhujiya - Nimbu Chatka,Balaji Wafers,24g,"Appetizers, Bhujia, Shing-bhujiq","India, United States"
